rus_name,latitude,longitude
Махачкала,42.9848572,47.5046303
Хасавюрт,43.2505191,46.5852276
Южно-Сухокумск,44.6600972,45.6499304
Биробиджан,48.7945975,132.9217594
Облучье,49.0188344,131.0539984
Балей,51.5822063,116.6380088
Борзя,50.3875437,116.5235682
Краснокаменск,50.092858,118.0323407
Могоча,53.7362465,119.7661232
Нерчинск,51.9595512,116.5854018
Петровск-Забайкальский,51.2748381,108.8467139
Сретенск,52.2462356,117.7116971
Хилок,51.3635236,110.458989
Чита,52.0340128,113.4994884
Шилка,51.8495302,116.033575
Вичуга,57.2044545,41.9131192
Гаврилов Посад,56.5585967,40.1228288
Заволжск,57.4916546,42.1374455
Иваново,56.9994677,40.9728231
Кинешма,57.4425441,42.1690039
Комсомольск,57.0273907,40.3775952
Кохма,56.9325151,41.0933071
Наволоки,57.4678426,41.9607371
Плес,57.4605304,41.512301
Приволжск,57.3807249,41.2809239
Пучеж,56.982075,43.1683878
Родники,57.1024137,41.7298908
Тейково,56.8542712,40.5355289
Фурманов,57.2538043,41.1053808
Шуя,56.8560743,41.3802455
Южа,56.5926458,42.0457159
Юрьевец,57.3178701,43.1110553
Карабулак,43.3054762,44.9094521
Магас,43.1686967,44.8130849
Малгобек,43.5097009,44.5901517
Назрань,43.2257977,44.764685
Алзамай,55.5550493,98.6644106
Ангарск,52.5448102,103.8885385
Байкальск,51.5231282,104.1485752
Бирюсинск,55.9608611,97.8203624
Бодайбо,57.8468822,114.1867148
Братск,56.1513951,101.6339892
Вихоревка,56.1207708,101.170332
Железногорск-Илимский,56.5847382,104.1141747
Зима,53.9206865,102.0492066
Иркутск,52.2863513,104.280655
Киренск,57.7757126,108.1107766
Нижнеудинск,54.8969105,99.0313481
Саянск,54.1107787,102.1802563
Свирск,53.0842576,103.3364192
Слюдянка,51.6562679,103.7186877
Тайшет,55.9405397,98.0030649
Тулун,54.5571409,100.5779402
Усолье-Сибирское,52.7567192,103.6387694
Усть-Илимск,57.9431325,102.7414683
Усть-Кут,56.7928049,105.7756883
Черемхово,53.1369385,103.090119
Шелехов,52.2102462,104.0973531
Баксан,43.6820621,43.5345627
Майский,43.6281779,44.0516663
Нальчик,43.4846312,43.6070316
Нарткала,43.5577208,43.8576411
Прохладный,43.7589521,44.0101936
Терек,43.4838439,44.1402524
Тырныауз,43.3981939,42.9215127
Чегем,43.5672039,43.5865338
Багратионовск,54.3866976,20.6418545
Балтийск,54.6514128,19.9141911
Гвардейск,54.6588981,21.0500584
Гурьевск,54.7705368,20.6039109
Гусев,54.5915477,22.1944114
Зеленоградск,54.9600226,20.4753274
Калининград,54.7073218,20.5072458
Краснознаменск,54.9452612,22.4928511
Ладушкин,54.5693538,20.1691909
Мамоново,54.4645591,19.9454114
Неман,55.0315543,22.0323961
Нестеров,54.6314454,22.5713658
Озерск,54.4084804,22.013508
Пионерский,54.9516927,20.227697
Полесск,54.8626321,21.0998148
Правдинск,54.4430604,21.0083638
Приморск,54.7311185,19.9983108
Светлогорск,54.9439566,20.1514789
Светлый,54.6774051,20.1356625
Славск,55.0451054,21.6742294
Советск,55.0810474,21.8886272
Черняховск,54.6243928,21.7969179
Городовиковск,46.0875351,41.9354039
Лагань,45.3929617,47.3432943
Элиста,46.3082947,44.2701417
Балабаново,55.1773652,36.6567255
Белоусово,55.0957679,36.6777239
Боровск,55.2130965,36.4927446
Ермолино,55.1972714,36.5951966
Жиздра,53.7522384,34.7386719
Жуков,55.0301386,36.7393279
Калуга,54.5060439,36.2515933
Киров,54.0790823,34.3077508
Козельск,54.0348417,35.7807136
Кондрово,54.796051,35.9276099
Кременки,54.8863306,37.116878
Людиново,53.8701406,34.4385498
Малоярославец,55.0176756,36.4632122
Медынь,54.9690755,35.887313
Мещовск,54.3191127,35.2816065
Мосальск,54.4825589,34.987206
Обнинск,55.0943892,36.6121785
Сосенский,54.056525,35.9621458
Спас-Деменск,54.4099201,34.0190263
Сухиничи,54.0973787,35.3443077
Таруса,54.7236791,37.1670866
Юхнов,54.7445873,35.2424857
Вилючинск,52.930428,158.4057276
Елизово,53.1829573,158.3882833
Петропавловск-Камчатский,53.0370213,158.6559142
Карачаевск,43.773197,41.9143726
Теберда,43.4438408,41.7414924
Усть-Джегута,44.083852,41.971128
Черкесск,44.2268637,42.0467829
Беломорск,64.5378468,34.7799717
Кемь,64.9543657,34.5948547
Кондопога,62.2059866,34.2681778
Костомукша,64.5889946,30.6015567
Лахденпохья,61.5189466,30.199592
Медвежьегорск,62.9127678,34.4567614
Олонец,60.9793604,32.9726031
Петрозаводск,61.78909,34.3596263
Питкяранта,61.5756886,31.4641309
Пудож,61.8059147,36.5330088
Сегежа,63.7437211,34.3126755
Сортавала,61.7032216,30.6917021
Суоярви,62.0787769,32.3499029
Анжеро-Судженск,56.0787179,86.0202207
Белово,54.4221442,86.3036438
Березовский,55.6692853,86.2744636
Гурьевск,54.2860005,85.947723
Калтан,53.5210461,87.2772143
Кемерово,55.3909721,86.0467864
Киселевск,54.0060382,86.6367387
Ленинск-Кузнецкий,54.6674092,86.1796724
Мариинск,56.2127836,87.7454392
Междуреченск,53.6865695,88.0703888
Мыски,53.7125516,87.8056657
Новокузнецк,53.7942757,87.2144046
Осинники,53.5987397,87.3369948
Полысаево,54.6053968,86.2808803
Прокопьевск,53.8604562,86.7183428
Салаир,54.2351588,85.8029215
Тайга,56.0622767,85.6207907
Таштагол,52.7594505,87.8477272
Топки,55.2766036,85.6153223
Юрга,55.7202689,84.8885516
Белая Холуница,58.8415212,50.8461002
Вятские Поляны,56.2286058,51.0614666
Зуевка,58.4031674,51.1330787
Киров,58.6035313,49.6679219
Кирово-Чепецк,58.5559921,50.0317608
Кирс,59.3400586,52.2415895
Котельнич,58.3035238,48.3474288
Луза,60.6290781,47.2612069
Малмыж,56.5243722,50.6782757
Мураши,59.3956347,48.9637651
Нолинск,57.5596946,49.9357867
Омутнинск,58.6697684,52.1893554
Орлов,58.5389402,48.8929268
Слободской,58.7311934,50.1670091
Советск,57.5841434,48.9589228
Сосновка,56.2533149,51.2833412
Уржум,57.1097612,50.0056278
Яранск,57.304195,47.8479185
Воркута,67.4973484,64.0611045
Вуктыл,63.8615209,57.3165207
Емва,62.5965314,50.8731889
Инта,66.0368196,60.1154612
Микунь,62.3580188,50.0719738
Печора,65.1485717,57.22388
Сосногорск,63.5990137,53.8762792
Сыктывкар,61.668789,50.8356491
Усинск,65.9941116,57.5570054
Ухта,63.5564779,53.7014202
Буй,58.473445,41.5306746
Волгореченск,57.4423712,41.1593076
Галич,58.3826861,42.3654563
Кологрив,58.826988,44.3185323
Кострома,57.8029445,40.9907282
Макарьев,57.8808916,43.8014428
Мантурово,58.3264667,44.7575036
Нерехта,57.4543706,40.5725438
Нея,58.2944499,43.8780965
Солигалич,59.0786729,42.2877245
Чухлома,58.7534246,42.6883783
Шарья,58.3761832,45.4060762
Абинск,44.8679931,38.1618437
Анапа,44.8950777,37.3163142
Апшеронск,44.4585239,39.7300092
Армавир,45.0010338,41.132392
Белореченск,44.7652733,39.8780457
Геленджик,44.5631053,38.0790184
Горячий Ключ,44.6343251,39.1356421
Гулькевичи,45.3605769,40.6918484
Ейск,46.7114611,38.2764915
Кореновск,45.4640868,39.4590178
Краснодар,45.040235,38.9760801
Кропоткин,45.4332464,40.5727852
Крымск,44.9344108,37.9855314
Курганинск,44.8876442,40.5913858
Лабинск,44.6353153,40.724385
Новокубанск,45.1038782,41.0473679
Новороссийск,44.7234264,37.7687218
Приморско-Ахтарск,46.0515,38.1704654
Славянск-на-Кубани,45.2605079,38.1260725
Сочи,43.5855829,39.7231419
Темрюк,45.2611082,37.445519
Тимашевск,45.6159358,38.9350513
Тихорецк,45.8546953,40.1258702
Туапсе,44.1103707,39.082645
Усть-Лабинск,45.222676,39.6930239
Хадыженск,44.412303,39.5319151
Артемовск,54.3472901,93.4356543
Ачинск,56.2538662,90.47949
Боготол,56.209881,89.5300182
Бородино,55.9054308,94.9021138
Дивногорск,55.9577868,92.380085
Дудинка,69.4031339,86.1908135
Енисейск,58.4485234,92.165237
Железногорск,56.2529346,93.532167
Заозерный,55.9617268,94.7091037
Зеленогорск,56.1133001,94.5888736
Игарка,67.4667947,86.5814287
Иланский,56.2374163,96.0672656
Канск,56.2049776,95.7051246
Кодинск,58.6033961,99.1797563
Красноярск,56.009466,92.8524162
Лесосибирск,58.2218201,92.5036986
Минусинск,53.7105509,91.6871866
Назарово,56.0113176,90.4167947
Норильск,69.3490828,88.2009965
Сосновоборск,56.1202088,93.3353411
Ужур,55.3141977,89.8333827
Уяр,55.8131698,94.3282148
Шарыпово,55.5389684,89.1801557
Ялта,44.416366,34.04455
Алушта,44.6764419,34.4100387
Армянск,46.1059247,33.6910325
Бахчисарай,44.751388,33.8750341
Белогорск,45.0571581,34.5998775
Джанкой,45.7092436,34.388332
Евпатория,45.1904322,33.3667685
Керчь,45.3561128,36.4674285
Красноперекопск,45.9537956,33.7921523
Саки,45.1342889,33.6032508
Симферополь,44.9482645,34.100117
Старый Крым,45.0290659,35.0900885
Судак,44.8505913,34.9761591
Феодосия,45.031878,35.3824772
Щелкино,45.4289847,35.8251329
Ялта,44.4951948,34.166386
Далматово,56.2621393,62.9387378
Катайск,56.2908118,62.5800669
Курган,55.4443448,65.3161339
Куртамыш,54.9368491,64.4203009
Макушино,55.2154025,67.2452558
Петухово,55.0649932,67.8874369
Шадринск,56.0870152,63.6298234
Шумиха,55.2281833,63.2902391
Щучье,55.20883,62.7478475
Дмитриев,52.1269291,35.0739504
Железногорск,52.3378753,35.3516834
Курск,51.7303391,36.1926448
Курчатов,51.6605475,35.6571711
Льгов,51.6596935,35.2611592
Обоянь,51.212012,36.275425
Рыльск,51.568165,34.6802178
Суджа,51.1919711,35.2719619
Фатеж,52.0918591,35.8538912
Щигры,51.8787808,36.8910674
Бокситогорск,59.4735032,33.8456521
Волосово,59.4445107,29.492277
Волхов,59.9006057,32.35212
Всеволожск,60.0190094,30.6455834
Выборг,60.7130748,28.7328813
Высоцк,60.6296511,28.5709914
Гатчина,59.5650861,30.1281859
Ивангород,59.3765845,28.2230504
Каменногорск,60.9508768,29.1308061
Кингисепп,59.3739407,28.6112981
Кириши,59.4742626,32.0625536
Кировск,59.875371,30.9815205
Коммунар,59.6215929,30.393466
Лодейное Поле,60.7320564,33.5522225
Луга,58.7373818,29.8466657
Любань,59.3492573,31.2485276
Никольское,59.7042633,30.7874879
Новая Ладога,60.1100013,32.3141446
Отрадное,59.772596,30.7988403
Пикалево,59.5130655,34.1773982
Подпорожье,60.9127463,34.1567832
Приморск,60.3660787,28.6135962
Приозерск,61.03313,30.15876
Светогорск,61.1112679,28.8726666
Сертолово,60.14458,30.2094595
Сланцы,59.1178693,28.088106
Сосновый Бор,59.8772921,29.1290866
Сясьстрой,60.1402454,32.5602015
Тихвин,59.6273809,33.5072307
Тосно,59.5406697,30.8777872
Шлиссельбург,59.9443923,31.0334136
Грязи,52.4873931,39.9331785
Данков,53.25769,39.1457625
Елец,52.6151738,38.5289121
Задонск,52.4004611,38.9205772
Лебедянь,53.0156678,39.143498
Липецк,52.6103027,39.5946266
Усмань,52.0444165,39.7264516
Чаплыгин,53.2404794,39.9671563
Магадан,59.5681763,150.8085289
Сусуман,62.7804628,148.154033
Волжск,55.8622987,48.371553
Звенигово,55.9739374,48.0170276
Йошкар-Ола,56.6343763,47.8998445
Козьмодемьянск,56.333346,46.5466282
Ардатов,54.8465693,46.2412736
Инсар,53.8770384,44.3696866
Ковылкино,54.0391464,43.9191229
Краснослободск,54.4248634,43.7845096
Рузаевка,54.0583238,44.949116
Саранск,54.1807601,45.1862263
Темников,54.6309086,43.2161785
Апрелевка,55.5276336,37.0651105
Балашиха,55.7963352,37.9381413
Бронницы,55.4255534,38.2640794
Верея,55.3674668,36.1563083
Видное,55.5518323,37.7062062
Волоколамск,56.0358121,35.9585027
Воскресенск,55.3071305,38.7026949
Высоковск,56.336141,36.5251316
Голицыно,55.6189762,36.9855559
Дедовск,55.8704718,37.1244724
Дзержинский,55.6241079,37.8440691
Дмитров,56.3477176,37.5267184
Долгопрудный,55.9384901,37.5100527
Домодедово,55.4363901,37.7666263
Дрезна,55.7442991,38.8499228
Дубна,56.7417949,37.1757163
Егорьевск,55.3831326,39.0358236
Жуковский,55.5998408,38.1224185
Зарайск,54.7625993,38.8851485
Звенигород,55.7296168,36.8552843
Ивантеевка,55.9742303,37.9208755
Истра,55.9061087,36.8600854
Кашира,54.8534263,38.1903818
Клин,56.3424886,36.7240912
Коломна,55.1027797,38.7531734
Королев,55.9162558,37.8545224
Котельники,55.659898,37.8632865
Красноармейск,51.0268595,45.7011086
Красногорск,55.8318475,37.32942
Краснозаводск,56.4408723,38.2320671
Краснознаменск,55.5978962,37.0395137
Кубинка,55.5755679,36.6952487
Куровское,55.5791491,38.9208543
Ликино-Дулево,55.7078531,38.9577103
Лобня,56.0328745,37.4614671
Лосино-Петровский,55.8714441,38.2005377
Луховицы,54.9651617,39.0261346
Лыткарино,55.5778065,37.9034952
Люберцы,55.700416,37.9606496
Можайск,55.5069819,36.0240724
Мытищи,55.9104647,37.7363702
Наро-Фоминск,55.3802749,36.7608038
Ногинск,55.8686239,38.4621635
Одинцово,55.6789292,37.2636389
Озеры,54.8539944,38.55987
Орехово-Зуево,55.8151729,38.9870711
Павловский Посад,55.7806718,38.6596047
Пересвет,56.4158828,38.1733567
Подольск,55.4389588,37.57027
Протвино,54.8706614,37.2183307
Пушкино,56.0104548,37.8471438
Пущино,54.832521,37.6210428
Раменское,55.549529,38.273015
Реутов,55.758236,37.8619443
Рошаль,55.6632504,39.8655434
Руза,55.7015302,36.1960043
Сергиев Посад,56.3063411,38.1502568
Серпухов,54.9225396,37.4032682
Солнечногорск,56.2148655,37.0967653
Старая Купавна,55.8038411,38.1426144
Ступино,54.9238403,38.1186976
Талдом,56.7308993,37.5276414
Фрязино,55.9590154,38.0409171
Химки,55.8886705,37.4304154
Хотьково,56.2515725,37.9395225
Черноголовка,56.0100909,38.3792328
Чехов,55.1507175,37.4532591
Шатура,55.5777942,39.5443781
Щелково,55.9234303,37.9784419
Электрогорск,55.8778573,38.7805239
Электросталь,55.7847718,38.4446531
Электроугли,55.7170329,38.2194049
Яхрома,56.2889858,37.4831016
Апатиты,67.5678295,33.4067218
Гаджиево,69.2490009,33.3152445
Заозерск,69.4003895,32.4502225
Заполярный,69.413232,30.7985332
Кандалакша,67.1567298,32.4142303
Кировск,67.6150979,33.6637196
Ковдор,67.5661466,30.4742082
Кола,68.8785079,33.0262014
